,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
17135,0,26,8,0,0,0,34,11,7,7,12,30,1,1
17136,198,29,1,0,13,125,1355,30,6306,6306,419,30,0,0
17137,161,7,1,0,1,0,782,30,409,409,196,2,0,0
17138,64,2,1,0,2,0,307,-1,6,6,3,7,0,1
17139,268,12,1,0,0,0,239,30,1782,1782,1611,30,1,1
17140,144,3,1,0,1,0,794,25,813,813,5,30,1,0
17141,372,13,2,0,1,0,1114,30,159,159,45,30,0,0
17142,36,2,1,0,4,41,165,30,70,70,5,30,0,0
17143,54,1,1,0,2,29,1527,30,182,182,41,30,1,1
17144,49,4,1,0,0,0,484,19,23,23,12,6,1,1
17145,0,10,1,0,0,0,225,-1,7,7,6,8,0,1
17146,0,2,1,0,0,0,795,22,109,109,4,30,1,1
17147,26,37,1,0,0,0,598,1,114,114,8,2,0,1
17148,404,1316,29,0,91,24,320,30,58,58,8,30,1,1
17149,433,3,1,0,2,0,644,-1,31,31,7,30,0,1
17150,248,147,16,0,6,15,767,30,409,409,195,30,1,1
17151,665,156,23,0,1,10,413,6,302,302,61,8,0,0
17152,177,13,2,0,6,0,120,30,6,6,14,30,0,0
17153,166,3,1,0,0,0,477,30,358,358,76,8,0,1
17154,70,6,1,0,0,0,143,30,8347,8347,39,30,0,1
